"Effect_Size_ID","Study_ID","Species_ID","Treatment_ID","Trait_ID","First_Author","Title","Year","Journal","Journal_Impact_Factor-2021","Scientific_Name","Ecosystem","Species_Overlap","Plasticity_Mechanism","Developmental_Exposure_Time","Acclimation_Exposure_Time","Exposure_Units","T1_constant","T2_mean","T2_Magnitude","Fluctuation_Category","Fluctuation_Period","Fluctuation_Unit","Acclimation_Life-History_Stage","Animal_Overlap_T1","Animal_Overlap_T2","Shared_Control","Trait_Category","Measurement","Trait_Unit","Performance_Curve","Complex_Design","Animal_Overlap","Percentage_Transformation","Proportion_Transformation","In_Transformation","Reciprocal_Transformation","n_R1-1","R1-1_Mean","R1-1_SD_Final","n_R2-2","R2-2_Mean","R2-2_SD_Final"
197,20,1,2,7,"J. Ge","Effects Of Seawater Acclimation At Constant And Diel Cyclic Temperatures On Growth, Osmoregulation And Branchial Phospholipid Fatty Acid Composition In Rainbow Trout Oncorhynchus Mykiss",2021,"Journal Of Comparative Physiology B-Biochemical Systems And Environmental Physiology",2.23,"Oncorhynchus mykiss","Aquatic","A","Acclimation",NA,6,"Weeks",13,13,4,"Sinusoidal (Sine Curve)",1,"Day","Juvenile","A","C","A","Biochemical Assay","Saturated Fatty Acids","%","No","No","A","Yes","No","No","Yes",4,33.51,0.63,4,34.19,0.45
198,20,1,2,8,"J. Ge","Effects Of Seawater Acclimation At Constant And Diel Cyclic Temperatures On Growth, Osmoregulation And Branchial Phospholipid Fatty Acid Composition In Rainbow Trout Oncorhynchus Mykiss",2021,"Journal Of Comparative Physiology B-Biochemical Systems And Environmental Physiology",2.23,"Oncorhynchus mykiss","Aquatic","A","Acclimation",NA,6,"Weeks",13,13,4,"Sinusoidal (Sine Curve)",1,"Day","Juvenile","A","C","A","Biochemical Assay","Monounsaturated Fatty Acids","%","No","No","A","Yes","No","No","No",4,18.86,0.43,4,21.02,0.74
199,20,1,2,9,"J. Ge","Effects Of Seawater Acclimation At Constant And Diel Cyclic Temperatures On Growth, Osmoregulation And Branchial Phospholipid Fatty Acid Composition In Rainbow Trout Oncorhynchus Mykiss",2021,"Journal Of Comparative Physiology B-Biochemical Systems And Environmental Physiology",2.23,"Oncorhynchus mykiss","Aquatic","A","Acclimation",NA,6,"Weeks",13,13,4,"Sinusoidal (Sine Curve)",1,"Day","Juvenile","A","C","A","Biochemical Assay","Polyunsaturated Fatty Acids","%","No","No","A","Yes","No","No","No",4,47.63,0.5,4,44.8,0.99
200,21,1,1,1,"M. Mugabo","Environmental Degradation Amplifies Species' Responses To Temperature Variation In A Trophic Interaction",2019,"Journal Of Animal Ecology",5.606,"Plodia interpunctella","Terrestrial","A","Developmental Plasticity","Egg Incubation",NA,NA,26,26.29,7.5,"Stochastic",70,"Day",NA,"A","B","A","Life-History Traits","Development Time","Days","No","No","A","No","No","No","Yes",35,30.9848484848485,1.82933821369809,32,31.3636363636364,2.18647736916063
201,21,1,1,2,"M. Mugabo","Environmental Degradation Amplifies Species' Responses To Temperature Variation In A Trophic Interaction",2019,"Journal Of Animal Ecology",5.606,"Plodia interpunctella","Terrestrial","A","Developmental Plasticity","Egg Incubation",NA,NA,26,26.29,7.5,"Stochastic",70,"Day",NA,"A","B","A","Morphology","Femur Length","mm","No","No","A","No","No","No","No",35,1.94407114624506,0.143165599332894,32,1.87134387351779,0.177960245002986
202,22,1,1,1,"T. Manenti","Environmental Heterogeneity Does Not Affect Levels Of Phenotypic Plasticity In Natural Populations Of Three Drosophila Species",2017,"Ecology And Evolution",3.167,"Drosophila melanogaster","Terrestrial","A","Developmental Plasticity","Egg to Adult",NA,NA,23,23,15,"Sinusoidal (Sine Curve)",1,"Day",NA,"A","B","A","Life-History Traits","Developmental time","Days","No","No","A","No","No","No","Yes",360,10.5098039215686,2.97626132721732,360,10.7058823529412,3.72032665902164
203,22,1,1,2,"T. Manenti","Environmental Heterogeneity Does Not Affect Levels Of Phenotypic Plasticity In Natural Populations Of Three Drosophila Species",2017,"Ecology And Evolution",3.167,"Drosophila melanogaster","Terrestrial","A","Developmental Plasticity","Egg to Adult",NA,NA,23,23,15,"Sinusoidal (Sine Curve)",1,"Day",NA,"A","B","A","Population","Survival","No.","No","No","A","No","No","No","No",9,25.3164556962025,2.27848101265823,9,26.4556962025317,2.65822784810125
204,22,1,1,3,"T. Manenti","Environmental Heterogeneity Does Not Affect Levels Of Phenotypic Plasticity In Natural Populations Of Three Drosophila Species",2017,"Ecology And Evolution",3.167,"Drosophila melanogaster","Terrestrial","A","Developmental Plasticity","Egg to Adult",NA,NA,23,23,15,"Sinusoidal (Sine Curve)",1,"Day",NA,"A","B","A","Life-History Traits","Fecundity","No.","No","No","A","No","No","No","No",20,27.8026905829596,12.0326527937209,20,35.4260089686099,12.0326527937208
205,22,1,1,4,"T. Manenti","Environmental Heterogeneity Does Not Affect Levels Of Phenotypic Plasticity In Natural Populations Of Three Drosophila Species",2017,"Ecology And Evolution",3.167,"Drosophila melanogaster","Terrestrial","A","Developmental Plasticity","Egg to Adult",NA,NA,23,23,15,"Sinusoidal (Sine Curve)",1,"Day",NA,"A","B","A","Morphology","Wing Size","Pixels","No","No","A","No","No","No","No",20,1283.33333333333,173.916398249984,20,1261.11111111111,74.5355992499933
206,22,1,1,5,"T. Manenti","Environmental Heterogeneity Does Not Affect Levels Of Phenotypic Plasticity In Natural Populations Of Three Drosophila Species",2017,"Ecology And Evolution",3.167,"Drosophila melanogaster","Terrestrial","A","Developmental Plasticity","Egg to Adult",NA,NA,23,23,15,"Sinusoidal (Sine Curve)",1,"Day",NA,"A","B","A","Physiological","Starvation Resistance","min","No","No","A","No","No","No","No",20,4.73298429319372,1.05364459672765,20,4.49738219895288,1.05364459672765
207,22,2,1,1,"T. Manenti","Environmental Heterogeneity Does Not Affect Levels Of Phenotypic Plasticity In Natural Populations Of Three Drosophila Species",2017,"Ecology And Evolution",3.167,"Drosophila melanogaster","Terrestrial","B","Developmental Plasticity","Egg to Adult",NA,NA,23,23,15,"Sinusoidal (Sine Curve)",1,"Day",NA,"A","B","A","Life-History Traits","Developmental time","Days","No","No","A","No","No","No","Yes",360,10.7058823529412,4.46439199082597,360,10.6274509803922,4.46439199082597
208,22,2,1,2,"T. Manenti","Environmental Heterogeneity Does Not Affect Levels Of Phenotypic Plasticity In Natural Populations Of Three Drosophila Species",2017,"Ecology And Evolution",3.167,"Drosophila melanogaster","Terrestrial","B","Developmental Plasticity","Egg to Adult",NA,NA,23,23,15,"Sinusoidal (Sine Curve)",1,"Day",NA,"A","B","A","Population","Survival","No.","No","No","A","No","No","No","No",9,27.5949367088608,3.41772151898735,9,28.3544303797468,3.03797468354431
209,22,2,1,3,"T. Manenti","Environmental Heterogeneity Does Not Affect Levels Of Phenotypic Plasticity In Natural Populations Of Three Drosophila Species",2017,"Ecology And Evolution",3.167,"Drosophila melanogaster","Terrestrial","B","Developmental Plasticity","Egg to Adult",NA,NA,23,23,15,"Sinusoidal (Sine Curve)",1,"Day",NA,"A","B","A","Life-History Traits","Fecundity","No.","No","No","A","No","No","No","No",20,27.8026905829596,16.0435370582945,20,39.9103139013453,14.0380949260076
210,22,2,1,4,"T. Manenti","Environmental Heterogeneity Does Not Affect Levels Of Phenotypic Plasticity In Natural Populations Of Three Drosophila Species",2017,"Ecology And Evolution",3.167,"Drosophila melanogaster","Terrestrial","B","Developmental Plasticity","Egg to Adult",NA,NA,23,23,15,"Sinusoidal (Sine Curve)",1,"Day",NA,"A","B","A","Morphology","Wing Size","Pixels","No","No","A","No","No","No","No",20,1327.77777777778,124.225998749988,20,1300,149.071198499987
211,22,2,1,5,"T. Manenti","Environmental Heterogeneity Does Not Affect Levels Of Phenotypic Plasticity In Natural Populations Of Three Drosophila Species",2017,"Ecology And Evolution",3.167,"Drosophila melanogaster","Terrestrial","B","Developmental Plasticity","Egg to Adult",NA,NA,23,23,15,"Sinusoidal (Sine Curve)",1,"Day",NA,"A","B","A","Physiological","Starvation Resistance","min","No","No","A","No","No","No","No",20,4.54973821989529,1.05364459672766,20,4.49738219895288,0.936572974869021
212,22,3,1,1,"T. Manenti","Environmental Heterogeneity Does Not Affect Levels Of Phenotypic Plasticity In Natural Populations Of Three Drosophila Species",2017,"Ecology And Evolution",3.167,"Drosophila immigrans","Terrestrial","C","Developmental Plasticity","Egg to Adult",NA,NA,23,23,15,"Sinusoidal (Sine Curve)",1,"Day",NA,"A","B","A","Life-History Traits","Developmental time","Days","No","No","A","No","No","No","Yes",360,12.9019607843137,4.46439199082593,360,13.6862745098039,9.67284931345618
213,22,3,1,2,"T. Manenti","Environmental Heterogeneity Does Not Affect Levels Of Phenotypic Plasticity In Natural Populations Of Three Drosophila Species",2017,"Ecology And Evolution",3.167,"Drosophila immigrans","Terrestrial","C","Developmental Plasticity","Egg to Adult",NA,NA,23,23,15,"Sinusoidal (Sine Curve)",1,"Day",NA,"A","B","A","Population","Survival","No.","No","No","A","No","No","No","No",9,31.1392405063291,4.55696202531647,9,34.5569620253165,3.41772151898733
214,22,3,1,3,"T. Manenti","Environmental Heterogeneity Does Not Affect Levels Of Phenotypic Plasticity In Natural Populations Of Three Drosophila Species",2017,"Ecology And Evolution",3.167,"Drosophila immigrans","Terrestrial","C","Developmental Plasticity","Egg to Adult",NA,NA,23,23,15,"Sinusoidal (Sine Curve)",1,"Day",NA,"A","B","A","Life-History Traits","Fecundity","No.","No","No","A","No","No","No","No",20,42.152466367713,26.0707477197284,20,74.4394618834081,32.0870741165888
215,22,3,1,4,"T. Manenti","Environmental Heterogeneity Does Not Affect Levels Of Phenotypic Plasticity In Natural Populations Of Three Drosophila Species",2017,"Ecology And Evolution",3.167,"Drosophila immigrans","Terrestrial","C","Developmental Plasticity","Egg to Adult",NA,NA,23,23,15,"Sinusoidal (Sine Curve)",1,"Day",NA,"A","B","A","Morphology","Wing Size","Pixels","No","No","A","No","No","No","No",20,1816.66666666667,173.916398249983,20,1733.33333333333,173.916398249983
216,22,3,1,5,"T. Manenti","Environmental Heterogeneity Does Not Affect Levels Of Phenotypic Plasticity In Natural Populations Of Three Drosophila Species",2017,"Ecology And Evolution",3.167,"Drosophila immigrans","Terrestrial","C","Developmental Plasticity","Egg to Adult",NA,NA,23,23,15,"Sinusoidal (Sine Curve)",1,"Day",NA,"A","B","A","Physiological","Starvation Resistance","min","No","No","A","No","No","No","No",20,8.18848167539267,1.52193108416217,20,6.85340314136126,0.936572974869021
217,22,4,1,1,"T. Manenti","Environmental Heterogeneity Does Not Affect Levels Of Phenotypic Plasticity In Natural Populations Of Three Drosophila Species",2017,"Ecology And Evolution",3.167,"Drosophila immigrans","Terrestrial","D","Developmental Plasticity","Egg to Adult",NA,NA,23,23,15,"Sinusoidal (Sine Curve)",1,"Day",NA,"A","B","A","Life-History Traits","Developmental time","Days","No","No","A","No","No","No","Yes",360,12.8627450980392,5.95252265443458,360,13.8039215686274,7.44065331804322
218,22,4,1,2,"T. Manenti","Environmental Heterogeneity Does Not Affect Levels Of Phenotypic Plasticity In Natural Populations Of Three Drosophila Species",2017,"Ecology And Evolution",3.167,"Drosophila immigrans","Terrestrial","D","Developmental Plasticity","Egg to Adult",NA,NA,23,23,15,"Sinusoidal (Sine Curve)",1,"Day",NA,"A","B","A","Population","Survival","No.","No","No","A","No","No","No","No",9,32.5316455696203,3.41772151898735,9,28.8607594936709,3.0379746835443
219,22,4,1,3,"T. Manenti","Environmental Heterogeneity Does Not Affect Levels Of Phenotypic Plasticity In Natural Populations Of Three Drosophila Species",2017,"Ecology And Evolution",3.167,"Drosophila immigrans","Terrestrial","D","Developmental Plasticity","Egg to Adult",NA,NA,23,23,15,"Sinusoidal (Sine Curve)",1,"Day",NA,"A","B","A","Life-History Traits","Fecundity","No.","No","No","A","No","No","No","No",20,28.6995515695067,20.0544213228681,20,50.6726457399103,26.0707477197286
220,22,4,1,4,"T. Manenti","Environmental Heterogeneity Does Not Affect Levels Of Phenotypic Plasticity In Natural Populations Of Three Drosophila Species",2017,"Ecology And Evolution",3.167,"Drosophila immigrans","Terrestrial","D","Developmental Plasticity","Egg to Adult",NA,NA,23,23,15,"Sinusoidal (Sine Curve)",1,"Day",NA,"A","B","A","Morphology","Wing Size","Pixels","No","No","A","No","No","No","No",20,1816.66666666667,173.916398249983,20,1755.55555555556,223.606797749978
221,22,4,1,5,"T. Manenti","Environmental Heterogeneity Does Not Affect Levels Of Phenotypic Plasticity In Natural Populations Of Three Drosophila Species",2017,"Ecology And Evolution",3.167,"Drosophila immigrans","Terrestrial","D","Developmental Plasticity","Egg to Adult",NA,NA,23,23,15,"Sinusoidal (Sine Curve)",1,"Day",NA,"A","B","A","Physiological","Starvation Resistance","min","No","No","A","No","No","No","No",20,8.45026178010471,1.63900270602079,20,6.53926701570681,1.28778784044491
222,22,5,1,1,"T. Manenti","Environmental Heterogeneity Does Not Affect Levels Of Phenotypic Plasticity In Natural Populations Of Three Drosophila Species",2017,"Ecology And Evolution",3.167,"Drosophila hydei","Terrestrial","E","Developmental Plasticity","Egg to Adult",NA,NA,23,23,15,"Sinusoidal (Sine Curve)",1,"Day",NA,"A","B","A","Life-History Traits","Developmental time","Days","No","No","A","No","No","No","Yes",360,15.6862745098039,5.20845732263029,360,15.4509803921569,10.4169146452605
223,22,5,1,2,"T. Manenti","Environmental Heterogeneity Does Not Affect Levels Of Phenotypic Plasticity In Natural Populations Of Three Drosophila Species",2017,"Ecology And Evolution",3.167,"Drosophila hydei","Terrestrial","E","Developmental Plasticity","Egg to Adult",NA,NA,23,23,15,"Sinusoidal (Sine Curve)",1,"Day",NA,"A","B","A","Population","Survival","No.","No","No","A","No","No","No","No",9,25.0632911392405,3.41772151898735,9,17.9746835443038,2.27848101265823
224,22,5,1,3,"T. Manenti","Environmental Heterogeneity Does Not Affect Levels Of Phenotypic Plasticity In Natural Populations Of Three Drosophila Species",2017,"Ecology And Evolution",3.167,"Drosophila hydei","Terrestrial","E","Developmental Plasticity","Egg to Adult",NA,NA,23,23,15,"Sinusoidal (Sine Curve)",1,"Day",NA,"A","B","A","Life-History Traits","Fecundity","No.","No","No","A","No","No","No","No",20,54.7085201793722,18.0489791905813,20,49.3273542600897,18.0489791905813
225,22,5,1,4,"T. Manenti","Environmental Heterogeneity Does Not Affect Levels Of Phenotypic Plasticity In Natural Populations Of Three Drosophila Species",2017,"Ecology And Evolution",3.167,"Drosophila hydei","Terrestrial","E","Developmental Plasticity","Egg to Adult",NA,NA,23,23,15,"Sinusoidal (Sine Curve)",1,"Day",NA,"A","B","A","Morphology","Wing Size","Pixels","No","No","A","No","No","No","No",20,2222.22222222222,173.916398249985,20,2144.44444444444,198.761597999981
226,22,5,1,5,"T. Manenti","Environmental Heterogeneity Does Not Affect Levels Of Phenotypic Plasticity In Natural Populations Of Three Drosophila Species",2017,"Ecology And Evolution",3.167,"Drosophila hydei","Terrestrial","E","Developmental Plasticity","Egg to Adult",NA,NA,23,23,15,"Sinusoidal (Sine Curve)",1,"Day",NA,"A","B","A","Physiological","Starvation Resistance","min","No","No","A","No","No","No","No",20,4.49738219895288,0.819501353010393,20,4.73298429319372,1.2877878404449
227,22,6,1,1,"T. Manenti","Environmental Heterogeneity Does Not Affect Levels Of Phenotypic Plasticity In Natural Populations Of Three Drosophila Species",2017,"Ecology And Evolution",3.167,"Drosophila hydei","Terrestrial","F","Developmental Plasticity","Egg to Adult",NA,NA,23,23,15,"Sinusoidal (Sine Curve)",1,"Day",NA,"A","B","A","Life-History Traits","Developmental time","Days","No","No","A","No","No","No","Yes",360,15.9607843137255,5.95252265443461,360,16.1960784313725,6.6965879862389
228,22,6,1,2,"T. Manenti","Environmental Heterogeneity Does Not Affect Levels Of Phenotypic Plasticity In Natural Populations Of Three Drosophila Species",2017,"Ecology And Evolution",3.167,"Drosophila hydei","Terrestrial","F","Developmental Plasticity","Egg to Adult",NA,NA,23,23,15,"Sinusoidal (Sine Curve)",1,"Day",NA,"A","B","A","Population","Survival","No.","No","No","A","No","No","No","No",9,29.2405063291139,2.65822784810127,9,25.1898734177215,3.41772151898734
229,22,6,1,3,"T. Manenti","Environmental Heterogeneity Does Not Affect Levels Of Phenotypic Plasticity In Natural Populations Of Three Drosophila Species",2017,"Ecology And Evolution",3.167,"Drosophila hydei","Terrestrial","F","Developmental Plasticity","Egg to Adult",NA,NA,23,23,15,"Sinusoidal (Sine Curve)",1,"Day",NA,"A","B","A","Life-History Traits","Fecundity","No.","No","No","A","No","No","No","No",20,65.9192825112108,36.0979583811625,20,31.8385650224215,30.0816319843021
230,22,6,1,4,"T. Manenti","Environmental Heterogeneity Does Not Affect Levels Of Phenotypic Plasticity In Natural Populations Of Three Drosophila Species",2017,"Ecology And Evolution",3.167,"Drosophila hydei","Terrestrial","F","Developmental Plasticity","Egg to Adult",NA,NA,23,23,15,"Sinusoidal (Sine Curve)",1,"Day",NA,"A","B","A","Morphology","Wing Size","Pixels","No","No","A","No","No","No","No",20,2194.44444444444,149.071198499989,20,2144.44444444444,198.761597999981
231,22,6,1,5,"T. Manenti","Environmental Heterogeneity Does Not Affect Levels Of Phenotypic Plasticity In Natural Populations Of Three Drosophila Species",2017,"Ecology And Evolution",3.167,"Drosophila hydei","Terrestrial","F","Developmental Plasticity","Egg to Adult",NA,NA,23,23,15,"Sinusoidal (Sine Curve)",1,"Day",NA,"A","B","A","Physiological","Starvation Resistance","min","No","No","A","No","No","No","No",20,4.0261780104712,1.05364459672765,20,3.84293193717278,0.936572974869021
232,23,1,1,1,"A. H. Houston","Erythrodynamics In Goldfish, Carassius-Auratus L - Temperature Effects",1992,"Physiological Zoology",0,"Carassius auratus","Aquatic","A","Acclimation",NA,21,"Days",25,25,20,"Sinusoidal (Sine Curve)",1,"Day","Adults","A","B","A","Physiological","Haematocrit","%","No","No","A","Yes","No","No","No",9,22.1030927835052,3.34020618556701,15,25.1340206185567,4.07262166302223
233,23,1,1,2,"A. H. Houston","Erythrodynamics In Goldfish, Carassius-Auratus L - Temperature Effects",1992,"Physiological Zoology",0,"Carassius auratus","Aquatic","A","Acclimation",NA,21,"Days",25,25,20,"Sinusoidal (Sine Curve)",1,"Day","Adults","A","B","A","Biochemical Assay","Erythrocytes","cellsx106/mm3","No","No","A","No","No","No","No",9,1.60677966101695,0.24406779661017,15,1.65706214689265,0.246984743052635
234,23,1,1,3,"A. H. Houston","Erythrodynamics In Goldfish, Carassius-Auratus L - Temperature Effects",1992,"Physiological Zoology",0,"Carassius auratus","Aquatic","A","Acclimation",NA,21,"Days",25,25,20,"Sinusoidal (Sine Curve)",1,"Day","Adults","A","B","A","Biochemical Assay","Haemoglobin","g/dl","No","No","A","No","No","No","No",9,6.70068027210884,0.765306122448979,15,6.63265306122449,0.988005955665156
235,23,1,1,4,"A. H. Houston","Erythrodynamics In Goldfish, Carassius-Auratus L - Temperature Effects",1992,"Physiological Zoology",0,"Carassius auratus","Aquatic","A","Acclimation",NA,21,"Days",25,25,20,"Sinusoidal (Sine Curve)",1,"Day","Adults","A","B","A","Physiological","Erythrocytic Volume","microm3","No","No","A","No","No","No","No",9,136.888888888889,8.44444444444443,15,154.222222222222,10.3279555898865
236,23,1,1,5,"A. H. Houston","Erythrodynamics In Goldfish, Carassius-Auratus L - Temperature Effects",1992,"Physiological Zoology",0,"Carassius auratus","Aquatic","A","Acclimation",NA,21,"Days",25,25,20,"Sinusoidal (Sine Curve)",1,"Day","Adults","A","B","A","Physiological","Erythrocytic Haemoglobin","pg","No","No","A","No","No","No","No",9,42.0401606425703,4.2409638554217,15,39.9196787148594,4.977327995126
237,24,1,1,1,"W. H. Eldridge","Fish Growth, Physiological Stress, And Tissue Condition In Response To Rate Of Temperature Change During Cool Or Warm Diel Thermal Cycles",2015,"Canadian Journal Of Fisheries And Aquatic Sciences",3.102,"Pimephales notatus","Aquatic","A","Acclimation",NA,14,"Days",7.8,7.8,7.8,"Alternating",1,"Day","Adults","A","B","A","Biochemical Assay","Cortisol","ng/g","No","No","A","No","No","No","No",8,4.66167664670659,0.304860408655277,8,2.64071856287425,0.762151021638194
238,24,1,1,2,"W. H. Eldridge","Fish Growth, Physiological Stress, And Tissue Condition In Response To Rate Of Temperature Change During Cool Or Warm Diel Thermal Cycles",2015,"Canadian Journal Of Fisheries And Aquatic Sciences",3.102,"Pimephales notatus","Aquatic","A","Acclimation",NA,14,"Days",7.8,7.8,7.8,"Alternating",1,"Day","Adults","A","B","A","Biochemical Assay","Triglyceride","mg/g","No","No","A","No","No","No","No",8,2.61377245508982,0.533505715146738,8,3.52994011976048,2.05780775842312
239,24,2,1,1,"W. H. Eldridge","Fish Growth, Physiological Stress, And Tissue Condition In Response To Rate Of Temperature Change During Cool Or Warm Diel Thermal Cycles",2015,"Canadian Journal Of Fisheries And Aquatic Sciences",3.102,"Micropterus dolomieu","Aquatic","B","Acclimation",NA,14,"Days",7.8,7.8,7.8,"Alternating",1,"Day","Adults","A","B","A","Biochemical Assay","Cortisol","ng/g","No","No","A","No","No","No","No",7,1.02332361516035,0.694220460629194,7,0.892128279883384,0.347110230314595
240,24,2,1,2,"W. H. Eldridge","Fish Growth, Physiological Stress, And Tissue Condition In Response To Rate Of Temperature Change During Cool Or Warm Diel Thermal Cycles",2015,"Canadian Journal Of Fisheries And Aquatic Sciences",3.102,"Micropterus dolomieu","Aquatic","B","Acclimation",NA,14,"Days",7.8,7.8,7.8,"Alternating",1,"Day","Adults","A","B","A","Biochemical Assay","Triglyceride","mg/g","No","No","A","No","No","No","No",7,1.36443148688047,0.833064552755033,7,1.28571428571429,0.971908644880868
241,24,3,1,1,"W. H. Eldridge","Fish Growth, Physiological Stress, And Tissue Condition In Response To Rate Of Temperature Change During Cool Or Warm Diel Thermal Cycles",2015,"Canadian Journal Of Fisheries And Aquatic Sciences",3.102,"Cyprinella spiloptera","Aquatic","C","Acclimation",NA,14,"Days",7.8,7.8,7.8,"Alternating",1,"Day","Adults","A","B","A","Biochemical Assay","Cortisol","ng/g","No","No","A","No","No","No","No",10,3.33529411764706,1.00448819793584,10,2.43529411764706,0.753366148451882
242,24,3,1,2,"W. H. Eldridge","Fish Growth, Physiological Stress, And Tissue Condition In Response To Rate Of Temperature Change During Cool Or Warm Diel Thermal Cycles",2015,"Canadian Journal Of Fisheries And Aquatic Sciences",3.102,"Cyprinella spiloptera","Aquatic","C","Acclimation",NA,14,"Days",7.8,7.8,7.8,"Alternating",1,"Day","Adults","A","B","A","Biochemical Assay","Triglyceride","mg/g","No","No","A","No","No","No","No",10,3.6,1.08819554776382,10,5.16176470588235,0.753366148451882
243,24,4,1,1,"W. H. Eldridge","Fish Growth, Physiological Stress, And Tissue Condition In Response To Rate Of Temperature Change During Cool Or Warm Diel Thermal Cycles",2015,"Canadian Journal Of Fisheries And Aquatic Sciences",3.102,"Catostomus commersonii","Aquatic","D","Acclimation",NA,14,"Days",7.8,7.8,7.8,"Alternating",1,"Day","Adults","A","B","A","Biochemical Assay","Cortisol","ng/g","No","No","A","No","No","No","No",8,2.88728323699422,1.85814326181704,8,3.2514450867052,0.58857443058302
244,24,4,1,2,"W. H. Eldridge","Fish Growth, Physiological Stress, And Tissue Condition In Response To Rate Of Temperature Change During Cool Or Warm Diel Thermal Cycles",2015,"Canadian Journal Of Fisheries And Aquatic Sciences",3.102,"Catostomus commersonii","Aquatic","D","Acclimation",NA,14,"Days",7.8,7.8,7.8,"Alternating",1,"Day","Adults","A","B","A","Biochemical Assay","Triglyceride","mg/g","No","No","A","No","No","No","No",8,0.728323699421966,0.294287215291511,8,1.63872832369942,0.956433449697411
245,24,5,2,1,"W. H. Eldridge","Fish Growth, Physiological Stress, And Tissue Condition In Response To Rate Of Temperature Change During Cool Or Warm Diel Thermal Cycles",2015,"Canadian Journal Of Fisheries And Aquatic Sciences",3.102,"Ictalurus punctatus","Aquatic","E","Acclimation",NA,21,"Days",23.7,23.7,7.8,"Alternating",1,"Day","Adults","C","D","B","Biochemical Assay","Cortisol","ng/g","No","No","A","No","No","No","No",10,1.86792452830189,0.98448266778827,10,1.47169811320755,1.43197478951021
246,24,5,2,2,"W. H. Eldridge","Fish Growth, Physiological Stress, And Tissue Condition In Response To Rate Of Temperature Change During Cool Or Warm Diel Thermal Cycles",2015,"Canadian Journal Of Fisheries And Aquatic Sciences",3.102,"Ictalurus punctatus","Aquatic","E","Acclimation",NA,21,"Days",23.7,23.7,7.8,"Alternating",1,"Day","Adults","C","D","B","Biochemical Assay","Triglyceride","mg/g","No","No","A","No","No","No","No",10,0.877358490566039,0.268495273033165,10,1.27358490566038,0.536990546066329
247,24,6,2,1,"W. H. Eldridge","Fish Growth, Physiological Stress, And Tissue Condition In Response To Rate Of Temperature Change During Cool Or Warm Diel Thermal Cycles",2015,"Canadian Journal Of Fisheries And Aquatic Sciences",3.102,"Clinostomus funduloides","Aquatic","F","Acclimation",NA,21,"Days",23.7,23.7,7.8,"Alternating",1,"Day","Adults","C","D","B","Biochemical Assay","Cortisol","ng/g","No","No","A","No","No","No","No",10,8.65588235294117,0.585951448795918,10,6.35294117647059,2.51122049483959
248,24,6,2,2,"W. H. Eldridge","Fish Growth, Physiological Stress, And Tissue Condition In Response To Rate Of Temperature Change During Cool Or Warm Diel Thermal Cycles",2015,"Canadian Journal Of Fisheries And Aquatic Sciences",3.102,"Clinostomus funduloides","Aquatic","F","Acclimation",NA,21,"Days",23.7,23.7,7.8,"Alternating",1,"Day","Adults","C","D","B","Biochemical Assay","Triglyceride","mg/g","No","No","A","No","No","No","No",10,6.16764705882353,2.00897639587168,10,3.97058823529412,3.93424544191536
249,24,7,2,1,"W. H. Eldridge","Fish Growth, Physiological Stress, And Tissue Condition In Response To Rate Of Temperature Change During Cool Or Warm Diel Thermal Cycles",2015,"Canadian Journal Of Fisheries And Aquatic Sciences",3.102,"Micropterus dolomieu","Aquatic","G","Acclimation",NA,21,"Days",23.7,23.7,7.8,"Alternating",1,"Day","Adults","C","D","B","Biochemical Assay","Cortisol","ng/g","No","No","A","No","No","No","No",7,1.67256637168142,0.983376593493032,7,2.04424778761062,1.82627081648706
250,24,7,2,2,"W. H. Eldridge","Fish Growth, Physiological Stress, And Tissue Condition In Response To Rate Of Temperature Change During Cool Or Warm Diel Thermal Cycles",2015,"Canadian Journal Of Fisheries And Aquatic Sciences",3.102,"Micropterus dolomieu","Aquatic","G","Acclimation",NA,21,"Days",23.7,23.7,7.8,"Alternating",1,"Day","Adults","C","D","B","Biochemical Assay","Triglyceride","mg/g","No","No","A","No","No","No","No",7,1.93805309734513,0.491688296746516,7,1.51327433628319,0.632170667245521
251,24,8,2,1,"W. H. Eldridge","Fish Growth, Physiological Stress, And Tissue Condition In Response To Rate Of Temperature Change During Cool Or Warm Diel Thermal Cycles",2015,"Canadian Journal Of Fisheries And Aquatic Sciences",3.102,"Cyprinella spiloptera","Aquatic","H","Acclimation",NA,21,"Days",23.7,23.7,7.8,"Alternating",1,"Day","Adults","C","D","B","Biochemical Assay","Cortisol","ng/g","No","No","A","No","No","No","No",8,0.789473684210526,0.66989063480831,7,1.39473684210526,0.278500138006799
252,24,8,2,2,"W. H. Eldridge","Fish Growth, Physiological Stress, And Tissue Condition In Response To Rate Of Temperature Change During Cool Or Warm Diel Thermal Cycles",2015,"Canadian Journal Of Fisheries And Aquatic Sciences",3.102,"Cyprinella spiloptera","Aquatic","H","Acclimation",NA,21,"Days",23.7,23.7,7.8,"Alternating",1,"Day","Adults","C","D","B","Biochemical Assay","Triglyceride","mg/g","No","No","A","No","No","No","No",8,1.78947368421053,1.0420520985907,7,2.28947368421053,0.626625310515297
