Effect_Size_ID,Study_ID,Species_ID,Treatment_ID_T1,Treatment_ID_T2,Trait_ID,First_Author,Title,Year,Journal,Journal_Impact_Factor-2021,Kingdom,Phylum,Class,Order,Family,Scientific_Name,Ecosystem,Plasticity_Mechanism,Developmental_Exposure_Time_Category,Developmental_Exposure_Time,Acclimation_Exposure_Time,Exposure_Units,T1_constant,T1_fluctuation,T2_constant,T2_fluctuation,High,Fluctuation_Magnitude,Fluctuation_Category,Fluctuation_Period,Fluctuation_Unit,Number_Of_Fluctuations,Acclimation_Life-History_Stage,Acclimation_Life-History_Stage_Category,Trait_Category,Measurement,Trait_Unit,per_transform,ln_transform,Sex,Performance_Curve,Complex_Design,Shared_Control_Number,n_T1_C,Mean_T1_C,SD_Final_T1_C,n_T1_F,Mean_T1_F,SD_Final_T1_F,n_T2_C,Mean_T2_C,SD_Final_T2_C,n_T2_F,Mean_T2_F,SD_Final_T2_F
46,43,1,1,3,3,A. L. Steele,"Sex-Specific Effects Of Developmental Temperature On Morphology, Growth And Survival Of Offspring In A Lizard With Temperature-Dependent Sex Determination",2021,Biological Journal Of The Linnean Society,2.277,Metazoa,Chordata,NA,Squamata,Agamidae,Agama picticauda,Terrestrial,Developmental Plasticity,Embryo,Egg Incubation,NA,NA,26,26,30,30,T2,4,NA,1,Day,NA,NA,NA,Morphology,Length,mm,No,No,Both,No,Yes,38,10,64.8,6.303,11,70.545,3.559,11,65.545,4.503,12,65.083,4.188
47,43,1,1,3,4,A. L. Steele,"Sex-Specific Effects Of Developmental Temperature On Morphology, Growth And Survival Of Offspring In A Lizard With Temperature-Dependent Sex Determination",2021,Biological Journal Of The Linnean Society,2.277,Metazoa,Chordata,NA,Squamata,Agamidae,Agama picticauda,Terrestrial,Developmental Plasticity,Embryo,Egg Incubation,NA,NA,26,26,30,30,T2,4,NA,1,Day,NA,NA,NA,Morphology,Mass,g,No,No,Both,No,Yes,39,10,1.528,0.246,11,1.609,0.166,11,1.583,0.199,12,1.642,0.155
48,43,1,1,3,5,A. L. Steele,"Sex-Specific Effects Of Developmental Temperature On Morphology, Growth And Survival Of Offspring In A Lizard With Temperature-Dependent Sex Determination",2021,Biological Journal Of The Linnean Society,2.277,Metazoa,Chordata,NA,Squamata,Agamidae,Agama picticauda,Terrestrial,Developmental Plasticity,Embryo,Egg Incubation,NA,NA,26,26,30,30,T2,4,NA,1,Day,NA,NA,NA,Morphology,Head Depth,mm,No,No,Both,No,Yes,40,10,5.435,0.266,10,5.376,0.236,11,5.664,0.373,11,5.557,0.532
49,43,1,1,3,6,A. L. Steele,"Sex-Specific Effects Of Developmental Temperature On Morphology, Growth And Survival Of Offspring In A Lizard With Temperature-Dependent Sex Determination",2021,Biological Journal Of The Linnean Society,2.277,Metazoa,Chordata,NA,Squamata,Agamidae,Agama picticauda,Terrestrial,Developmental Plasticity,Embryo,Egg Incubation,NA,NA,26,26,30,30,T2,4,NA,1,Day,NA,NA,NA,Morphology,Head Width,mm,No,No,Both,No,Yes,41,10,7.725,0.372,10,7.786,0.353,11,7.832,0.214,11,7.902,0.207
50,44,1,1,3,1,S. L. Chown,Similar Metabolic Rate-Temperature Relationships After Acclimation At Constant And Fluctuating Temperatures In Caterpillars Of A Sub-Antarctic Moth,2016,Journal Of Insect Physiology,2.608,Metazoa,Arthropoda,Insecta,Lepidoptera,Tineidae,Pringleophaga marioni,Terrestrial,Acclimation,NA,NA,7,Days,5,5,15,15,T2,10,NA,1,Day,7,Larvae,Larvae,Physiological,Metabolic Rate,µW,No,No,Both,Yes,Yes,42,18,38.49,24.39518395,18,35.31,18.45548699,18,67.74,45.26897613,18,61.22,33.38958221
51,48,2,1,3,1,J. Verheyen,Temperature Variation Makes An Ectotherm More Sensitive To Global Warming Unless Thermal Evolution Occurs,2019,Journal Of Animal Ecology,5.606,Metazoa,Arthropoda,Insecta,Odonata,Coenagrionidae,Ischnura elegans,Terrestrial,Acclimation,NA,NA,13,Days,20,20,24,24,T2,5,Stepwise,1,Day,13,Larvae,Larvae,Biochemical Assay,PO Activity,Units,No,No,Both,No,Yes,43,30,23.27941176,5.839689032,30,22.28676471,5.839689032,30,23.46323529,5.638320445,30,24.16176471,5.839689032
52,48,1,1,3,1,J. Verheyen,Temperature Variation Makes An Ectotherm More Sensitive To Global Warming Unless Thermal Evolution Occurs,2019,Journal Of Animal Ecology,5.606,Metazoa,Arthropoda,Insecta,Odonata,Coenagrionidae,Ischnura elegans,Terrestrial,Acclimation,NA,NA,13,Days,20,20,24,24,T2,5,Stepwise,1,Day,13,Larvae,Larvae,Biochemical Assay,PO Activity,Units,No,No,Both,No,Yes,44,29,20.63235294,6.137504008,30,22.13970588,5.839689032,30,17.83823529,6.04105762,29,19.86029412,5.741536008
53,48,2,2,4,1,J. Verheyen,Temperature Variation Makes An Ectotherm More Sensitive To Global Warming Unless Thermal Evolution Occurs,2019,Journal Of Animal Ecology,5.606,Metazoa,Arthropoda,Insecta,Odonata,Coenagrionidae,Ischnura elegans,Terrestrial,Acclimation,NA,NA,13,Days,20,20,24,24,T2,10,Stepwise,1,Day,13,Larvae,Larvae,Biochemical Assay,PO Activity,Units,No,No,Both,No,Yes,43,30,23.27941176,5.839689032,30,24.16176471,5.839689032,30,23.46323529,5.638320445,29,20.66911765,5.939520008
54,48,1,2,4,1,J. Verheyen,Temperature Variation Makes An Ectotherm More Sensitive To Global Warming Unless Thermal Evolution Occurs,2019,Journal Of Animal Ecology,5.606,Metazoa,Arthropoda,Insecta,Odonata,Coenagrionidae,Ischnura elegans,Terrestrial,Acclimation,NA,NA,13,Days,20,20,24,24,T2,10,Stepwise,1,Day,13,Larvae,Larvae,Biochemical Assay,PO Activity,Units,No,No,Both,No,Yes,44,29,20.63235294,6.137504008,30,22.47058824,5.839689032,30,17.83823529,6.04105762,29,21.36764706,5.741536008
55,48,2,1,3,2,J. Verheyen,Temperature Variation Makes An Ectotherm More Sensitive To Global Warming Unless Thermal Evolution Occurs,2019,Journal Of Animal Ecology,5.606,Metazoa,Arthropoda,Insecta,Odonata,Coenagrionidae,Ischnura elegans,Terrestrial,Acclimation,NA,NA,13,Days,20,20,24,24,T2,5,Stepwise,1,Day,13,Larvae,Larvae,Biochemical Assay,Fat Content,ug/ml,No,No,Both,No,Yes,45,20,18.136,4.937238094,20,20.848,5.044569357,20,19.936,5.044569357,20,21.04,4.937238094
56,48,1,1,3,2,J. Verheyen,Temperature Variation Makes An Ectotherm More Sensitive To Global Warming Unless Thermal Evolution Occurs,2019,Journal Of Animal Ecology,5.606,Metazoa,Arthropoda,Insecta,Odonata,Coenagrionidae,Ischnura elegans,Terrestrial,Acclimation,NA,NA,13,Days,20,20,24,24,T2,5,Stepwise,1,Day,13,Larvae,Larvae,Biochemical Assay,Fat Content,ug/ml,No,No,Both,No,Yes,46,20,19.6,4.937238094,20,20.128,4.937238094,20,19.864,4.937238094,20,19.96,5.044569357
57,48,2,2,4,2,J. Verheyen,Temperature Variation Makes An Ectotherm More Sensitive To Global Warming Unless Thermal Evolution Occurs,2019,Journal Of Animal Ecology,5.606,Metazoa,Arthropoda,Insecta,Odonata,Coenagrionidae,Ischnura elegans,Terrestrial,Acclimation,NA,NA,13,Days,20,20,24,24,T2,10,Stepwise,1,Day,13,Larvae,Larvae,Biochemical Assay,Fat Content,ug/ml,No,No,Both,No,Yes,45,20,18.136,4.937238094,20,20.128,4.829906831,20,19.936,5.044569357,20,19.864,4.937238094
58,48,1,2,4,2,J. Verheyen,Temperature Variation Makes An Ectotherm More Sensitive To Global Warming Unless Thermal Evolution Occurs,2019,Journal Of Animal Ecology,5.606,Metazoa,Arthropoda,Insecta,Odonata,Coenagrionidae,Ischnura elegans,Terrestrial,Acclimation,NA,NA,13,Days,20,20,24,24,T2,10,Stepwise,1,Day,13,Larvae,Larvae,Biochemical Assay,Fat Content,ug/ml,No,No,Both,No,Yes,46,20,19.6,4.937238094,20,20.296,5.044569357,20,19.864,4.937238094,19,18.568,5.021451583
59,48,2,1,3,3,J. Verheyen,Temperature Variation Makes An Ectotherm More Sensitive To Global Warming Unless Thermal Evolution Occurs,2019,Journal Of Animal Ecology,5.606,Metazoa,Arthropoda,Insecta,Odonata,Coenagrionidae,Ischnura elegans,Terrestrial,Acclimation,NA,NA,13,Days,20,20,24,24,T2,5,Stepwise,1,Day,13,Larvae,Larvae,Biochemical Assay,Catalase Activity,In units,No,Yes,Both,No,Yes,47,19,4.862040816,0.192147382,20,4.791020408,0.197139054,20,4.945306122,0.186186885,20,4.876734694,0.186186885
60,48,1,1,3,3,J. Verheyen,Temperature Variation Makes An Ectotherm More Sensitive To Global Warming Unless Thermal Evolution Occurs,2019,Journal Of Animal Ecology,5.606,Metazoa,Arthropoda,Insecta,Odonata,Coenagrionidae,Ischnura elegans,Terrestrial,Acclimation,NA,NA,13,Days,20,20,24,24,T2,5,Stepwise,1,Day,13,Larvae,Larvae,Biochemical Assay,Catalase Activity,In units,No,Yes,Both,No,Yes,48,20,4.830204082,0.197139054,20,4.857142857,0.197139054,20,4.937959184,0.186186885,20,4.903673469,0.186186885
61,48,2,2,4,3,J. Verheyen,Temperature Variation Makes An Ectotherm More Sensitive To Global Warming Unless Thermal Evolution Occurs,2019,Journal Of Animal Ecology,5.606,Metazoa,Arthropoda,Insecta,Odonata,Coenagrionidae,Ischnura elegans,Terrestrial,Acclimation,NA,NA,13,Days,20,20,24,24,T2,10,Stepwise,1,Day,13,Larvae,Larvae,Biochemical Assay,Catalase Activity,In units,No,Yes,Both,No,Yes,47,19,4.862040816,0.192147382,19,4.864489796,0.192147382,20,4.945306122,0.186186885,20,4.800816327,0.186186885
62,48,1,2,4,3,J. Verheyen,Temperature Variation Makes An Ectotherm More Sensitive To Global Warming Unless Thermal Evolution Occurs,2019,Journal Of Animal Ecology,5.606,Metazoa,Arthropoda,Insecta,Odonata,Coenagrionidae,Ischnura elegans,Terrestrial,Acclimation,NA,NA,13,Days,20,20,24,24,T2,10,Stepwise,1,Day,13,Larvae,Larvae,Biochemical Assay,Catalase Activity,In units,No,Yes,Both,No,Yes,48,20,4.830204082,0.197139054,20,4.908571429,0.197139054,20,4.937959184,0.186186885,20,4.90122449,0.186186885
63,48,2,1,3,4,J. Verheyen,Temperature Variation Makes An Ectotherm More Sensitive To Global Warming Unless Thermal Evolution Occurs,2019,Journal Of Animal Ecology,5.606,Metazoa,Arthropoda,Insecta,Odonata,Coenagrionidae,Ischnura elegans,Terrestrial,Acclimation,NA,NA,13,Days,20,20,24,24,T2,5,Stepwise,1,Day,13,Larvae,Larvae,Biochemical Assay,SOD Activity,units/mg,No,No,Both,No,Yes,49,30,104.7785978,17.94751406,28,100.704797,18.27618618,30,100.7933579,17.46244611,30,104.8671587,17.94751406
64,48,1,1,3,4,J. Verheyen,Temperature Variation Makes An Ectotherm More Sensitive To Global Warming Unless Thermal Evolution Occurs,2019,Journal Of Animal Ecology,5.606,Metazoa,Arthropoda,Insecta,Odonata,Coenagrionidae,Ischnura elegans,Terrestrial,Acclimation,NA,NA,13,Days,20,20,24,24,T2,5,Stepwise,1,Day,13,Larvae,Larvae,Biochemical Assay,SOD Activity,units/mg,No,No,Both,No,Yes,50,30,105.6642066,17.94751406,29,103.3616236,18.12276865,29,101.1476015,18.12276865,30,104.9557196,17.94751406
65,48,2,2,4,4,J. Verheyen,Temperature Variation Makes An Ectotherm More Sensitive To Global Warming Unless Thermal Evolution Occurs,2019,Journal Of Animal Ecology,5.606,Metazoa,Arthropoda,Insecta,Odonata,Coenagrionidae,Ischnura elegans,Terrestrial,Acclimation,NA,NA,13,Days,20,20,24,24,T2,10,Stepwise,1,Day,13,Larvae,Larvae,Biochemical Assay,SOD Activity,units/mg,No,No,Both,No,Yes,49,30,104.7785978,17.94751406,30,105.1328413,17.94751406,30,100.7933579,17.46244611,30,105.1328413,17.94751406
66,48,1,2,4,4,J. Verheyen,Temperature Variation Makes An Ectotherm More Sensitive To Global Warming Unless Thermal Evolution Occurs,2019,Journal Of Animal Ecology,5.606,Metazoa,Arthropoda,Insecta,Odonata,Coenagrionidae,Ischnura elegans,Terrestrial,Acclimation,NA,NA,13,Days,20,20,24,24,T2,10,Stepwise,1,Day,13,Larvae,Larvae,Biochemical Assay,SOD Activity,units/mg,No,No,Both,No,Yes,50,30,105.6642066,17.94751406,30,97.16236162,17.94751406,29,101.1476015,18.12276865,30,113.103321,17.94751406
67,48,2,1,3,5,J. Verheyen,Temperature Variation Makes An Ectotherm More Sensitive To Global Warming Unless Thermal Evolution Occurs,2019,Journal Of Animal Ecology,5.606,Metazoa,Arthropoda,Insecta,Odonata,Coenagrionidae,Ischnura elegans,Terrestrial,Acclimation,NA,NA,13,Days,20,20,24,24,T2,5,Stepwise,1,Day,13,Larvae,Larvae,Biochemical Assay,MDA Levels,InuM/ug,No,No,Both,No,Yes,51,20,0.694890511,0.705095888,20,0.559124088,0.685509891,20,0.405839416,0.685509891,20,0.554744526,0.705095888
68,48,1,1,3,5,J. Verheyen,Temperature Variation Makes An Ectotherm More Sensitive To Global Warming Unless Thermal Evolution Occurs,2019,Journal Of Animal Ecology,5.606,Metazoa,Arthropoda,Insecta,Odonata,Coenagrionidae,Ischnura elegans,Terrestrial,Acclimation,NA,NA,13,Days,20,20,24,24,T2,5,Stepwise,1,Day,13,Larvae,Larvae,Biochemical Assay,MDA Levels,InuM/ug,No,No,Both,No,Yes,52,20,0.432116788,0.685509891,20,0.77810219,0.705095888,20,0.58540146,0.685509891,20,0.716788321,0.705095888
69,48,2,2,4,5,J. Verheyen,Temperature Variation Makes An Ectotherm More Sensitive To Global Warming Unless Thermal Evolution Occurs,2019,Journal Of Animal Ecology,5.606,Metazoa,Arthropoda,Insecta,Odonata,Coenagrionidae,Ischnura elegans,Terrestrial,Acclimation,NA,NA,13,Days,20,20,24,24,T2,10,Stepwise,1,Day,13,Larvae,Larvae,Biochemical Assay,MDA Levels,InuM/ug,No,No,Both,No,Yes,51,20,0.694890511,0.705095888,20,0.445255474,0.685509891,20,0.405839416,0.685509891,20,0.716788321,0.705095888
70,48,1,2,4,5,J. Verheyen,Temperature Variation Makes An Ectotherm More Sensitive To Global Warming Unless Thermal Evolution Occurs,2019,Journal Of Animal Ecology,5.606,Metazoa,Arthropoda,Insecta,Odonata,Coenagrionidae,Ischnura elegans,Terrestrial,Acclimation,NA,NA,13,Days,20,20,24,24,T2,10,Stepwise,1,Day,13,Larvae,Larvae,Biochemical Assay,MDA Levels,InuM/ug,No,No,Both,No,Yes,52,20,0.432116788,0.685509891,19,0.856934307,0.70633253,20,0.58540146,0.685509891,19,1.141605839,0.687242461
71,48,2,1,3,6,J. Verheyen,Temperature Variation Makes An Ectotherm More Sensitive To Global Warming Unless Thermal Evolution Occurs,2019,Journal Of Animal Ecology,5.606,Metazoa,Arthropoda,Insecta,Odonata,Coenagrionidae,Ischnura elegans,Terrestrial,Acclimation,NA,NA,13,Days,20,20,24,24,T2,5,Stepwise,1,Day,13,Larvae,Larvae,Biochemical Assay,ETS Activity,nmol O2 min-1 mg-1,No,No,Both,No,Yes,53,20,4.040692641,0.294270418,20,3.96969697,0.294270418,20,4.106493506,0.294270418,20,3.928138528,0.294270418
72,48,1,1,3,6,J. Verheyen,Temperature Variation Makes An Ectotherm More Sensitive To Global Warming Unless Thermal Evolution Occurs,2019,Journal Of Animal Ecology,5.606,Metazoa,Arthropoda,Insecta,Odonata,Coenagrionidae,Ischnura elegans,Terrestrial,Acclimation,NA,NA,13,Days,20,20,24,24,T2,5,Stepwise,1,Day,13,Larvae,Larvae,Biochemical Assay,ETS Activity,nmol O2 min-1 mg-1,No,No,Both,No,Yes,54,20,4.097835498,0.294270418,20,4.011255411,0.294270418,20,4.096103896,0.294270418,20,4.092640693,0.294270418
73,48,2,2,4,6,J. Verheyen,Temperature Variation Makes An Ectotherm More Sensitive To Global Warming Unless Thermal Evolution Occurs,2019,Journal Of Animal Ecology,5.606,Metazoa,Arthropoda,Insecta,Odonata,Coenagrionidae,Ischnura elegans,Terrestrial,Acclimation,NA,NA,13,Days,20,20,24,24,T2,10,Stepwise,1,Day,13,Larvae,Larvae,Biochemical Assay,ETS Activity,nmol O2 min-1 mg-1,No,No,Both,No,Yes,53,20,4.040692641,0.294270418,19,3.966233766,0.294367201,20,4.106493506,0.294270418,20,3.888311688,0.294270418
74,48,1,2,4,6,J. Verheyen,Temperature Variation Makes An Ectotherm More Sensitive To Global Warming Unless Thermal Evolution Occurs,2019,Journal Of Animal Ecology,5.606,Metazoa,Arthropoda,Insecta,Odonata,Coenagrionidae,Ischnura elegans,Terrestrial,Acclimation,NA,NA,13,Days,20,20,24,24,T2,10,Stepwise,1,Day,13,Larvae,Larvae,Biochemical Assay,ETS Activity,nmol O2 min-1 mg-1,No,No,Both,No,Yes,54,20,4.097835498,0.294270418,20,3.99047619,0.286526459,20,4.096103896,0.294270418,20,3.993939394,0.286526459
75,51,1,2,3,1,V. Foray,The Impact Of Thermal Fluctuations On Reaction Norms In Specialist And Generalist Parasitic Wasps,2014,Functional Ecology,6.282,Metazoa,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,Venturia canescens,Terrestrial,Developmental Plasticity,Embryo,Egg Incubation,NA,NA,25,25,30,30,T2,8,Stepwise,1,Day,NA,NA,NA,Morphology,Length,mm,No,No,Female,No,Yes,55,74,1.880617496,0.082629539,75,1.864150943,0.101011539,48,1.784562607,0.095069684,50,1.774957118,0.092178586
76,62,1,1,4,1,S. R. Bryant,Comparison Of Development And Growth Of Nettle-Feeding Larvae Of Nymphalidae (Lepidoptera) Under Constant And Alternating Temperature Regimes,1999,European Journal Of Entomology,1.13,Metazoa,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Aglais urticae,Terrestrial,Developmental Plasticity,Larvae,Larvae Period,NA,NA,15,15,25,25,T2,10,Alternating,1,Day,NA,NA,NA,Life-History Traits,Development Time,Days,No,No,Both,No,Yes,56,36,58.5,2.16,52,51.33,1.153776408,43,18.6,1.049190164,55,18.6,0.815781834
77,62,2,1,4,1,S. R. Bryant,Comparison Of Development And Growth Of Nettle-Feeding Larvae Of Nymphalidae (Lepidoptera) Under Constant And Alternating Temperature Regimes,1999,European Journal Of Entomology,1.13,Metazoa,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Inachis io,Terrestrial,Developmental Plasticity,Larvae,Larvae Period,NA,NA,15,15,25,25,T2,10,Alternating,1,Day,NA,NA,NA,Life-History Traits,Development Time,Days,No,No,Both,No,Yes,57,20,66.3,1.252198067,34,63.35,1.982523644,44,24.59,0.79598995,20,26.75,0.804984472
78,62,3,1,4,1,S. R. Bryant,Comparison Of Development And Growth Of Nettle-Feeding Larvae Of Nymphalidae (Lepidoptera) Under Constant And Alternating Temperature Regimes,1999,European Journal Of Entomology,1.13,Metazoa,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Polygonia c-album,Terrestrial,Developmental Plasticity,Larvae,Larvae Period,NA,NA,15,15,25,25,T2,10,Alternating,1,Day,NA,NA,NA,Life-History Traits,Development Time,Days,No,No,Both,No,Yes,58,42,57.69,2.268259244,42,49.14,0.842496291,43,20.51,1.049190164,20,21.65,1.073312629
79,62,4,1,4,1,S. R. Bryant,Comparison Of Development And Growth Of Nettle-Feeding Larvae Of Nymphalidae (Lepidoptera) Under Constant And Alternating Temperature Regimes,1999,European Journal Of Entomology,1.13,Metazoa,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Vanessa atalanta,Terrestrial,Developmental Plasticity,Larvae,Larvae Period,NA,NA,15,15,25,25,T2,10,Alternating,1,Day,NA,NA,NA,Life-History Traits,Development Time,Days,No,No,Both,No,Yes,59,42,59.17,2.721911093,41,53.56,1.856906029,43,21.98,0.983615779,31,23.53,1.447618734
80,62,1,1,4,2,S. R. Bryant,Comparison Of Development And Growth Of Nettle-Feeding Larvae Of Nymphalidae (Lepidoptera) Under Constant And Alternating Temperature Regimes,1999,European Journal Of Entomology,1.13,Metazoa,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Aglais urticae,Terrestrial,Developmental Plasticity,Larvae,Larvae Period,NA,NA,15,15,25,25,T2,10,Alternating,1,Day,NA,NA,NA,Morphology,Mass,mg,No,No,Both,No,Yes,60,42,314.63,27.8023776,56,325.76,25.51810338,57,296.03,19.93156291,60,327.51,27.88548009
81,62,2,1,4,2,S. R. Bryant,Comparison Of Development And Growth Of Nettle-Feeding Larvae Of Nymphalidae (Lepidoptera) Under Constant And Alternating Temperature Regimes,1999,European Journal Of Entomology,1.13,Metazoa,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Inachis io,Terrestrial,Developmental Plasticity,Larvae,Larvae Period,NA,NA,15,15,25,25,T2,10,Alternating,1,Day,NA,NA,NA,Morphology,Mass,mg,No,No,Both,No,Yes,61,30,497.37,54.38884996,44,515.21,50.47902931,42,384.74,39.40290345,24,285.87,55.16250901
82,62,3,1,4,2,S. R. Bryant,Comparison Of Development And Growth Of Nettle-Feeding Larvae Of Nymphalidae (Lepidoptera) Under Constant And Alternating Temperature Regimes,1999,European Journal Of Entomology,1.13,Metazoa,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Polygonia c-album,Terrestrial,Developmental Plasticity,Larvae,Larvae Period,NA,NA,15,15,25,25,T2,10,Alternating,1,Day,NA,NA,NA,Morphology,Mass,mg,No,No,Both,No,Yes,62,47,351.11,25.16025238,50,358.81,19.58685784,40,306.62,19.98559481,24,274.87,27.53226471
83,62,4,1,4,2,S. R. Bryant,Comparison Of Development And Growth Of Nettle-Feeding Larvae Of Nymphalidae (Lepidoptera) Under Constant And Alternating Temperature Regimes,1999,European Journal Of Entomology,1.13,Metazoa,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Vanessa atalanta,Terrestrial,Developmental Plasticity,Larvae,Larvae Period,NA,NA,15,15,25,25,T2,10,Alternating,1,Day,NA,NA,NA,Morphology,Mass,mg,No,No,Both,No,Yes,63,42,592.2,54.7622589,42,603.58,39.9213627,42,552.07,57.28974777,37,458.44,65.93714583
84,63,1,1,3,1,H. M. Bahar,Constant Versus Fluctuating Temperatures In The Interactions Between Plutella Xylostella (Lepidoptera: Plutellidae) And Its Larval Parasitoid Diadegma Insulare (Hymenoptera: Ichneumonidae),2012,Environmental Entomology,2.387,Metazoa,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,Diadegma insulare,Terrestrial,Developmental Plasticity,Embryo,Egg Incubation,NA,NA,7,7,30,30,T2,14,NA,1,Day,NA,NA,NA,Population,Mortality,%,Yes,No,NA,No,Yes,64,36,3.55E-15,0,36,4.330827068,24.36090226,36,27.87969925,32.48120301,36,55.03759398,29.77443609
85,63,1,1,3,2,H. M. Bahar,Constant Versus Fluctuating Temperatures In The Interactions Between Plutella Xylostella (Lepidoptera: Plutellidae) And Its Larval Parasitoid Diadegma Insulare (Hymenoptera: Ichneumonidae),2012,Environmental Entomology,2.387,Metazoa,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,Diadegma insulare,Terrestrial,Developmental Plasticity,Embryo,Egg Incubation,NA,NA,7,7,30,30,T2,14,NA,1,Day,NA,NA,NA,Life-History Traits,Development Time,Days,No,No,NA,No,Yes,65,36,58.2,8.64,36,48,7.32,36,11.08,1.86,36,10.75,1.5
86,63,1,1,3,3,H. M. Bahar,Constant Versus Fluctuating Temperatures In The Interactions Between Plutella Xylostella (Lepidoptera: Plutellidae) And Its Larval Parasitoid Diadegma Insulare (Hymenoptera: Ichneumonidae),2012,Environmental Entomology,2.387,Metazoa,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,Diadegma insulare,Terrestrial,Developmental Plasticity,Embryo,Egg Incubation,NA,NA,7,7,30,30,T2,14,NA,1,Day,NA,NA,NA,Life-History Traits,Longevity,Days,No,No,NA,No,Yes,66,36,11.15,5.52,36,9.26,3.48,36,2.77,1.56,36,2.25,2.88
87,63,1,1,3,4,H. M. Bahar,Constant Versus Fluctuating Temperatures In The Interactions Between Plutella Xylostella (Lepidoptera: Plutellidae) And Its Larval Parasitoid Diadegma Insulare (Hymenoptera: Ichneumonidae),2012,Environmental Entomology,2.387,Metazoa,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,Diadegma insulare,Terrestrial,Developmental Plasticity,Embryo,Egg Incubation,NA,NA,7,7,30,30,T2,14,NA,1,Day,NA,NA,NA,Morphology,Mass,mg,No,No,NA,No,Yes,67,36,4.63,0.9,36,4.53,0.78,36,3.79,1.32,36,3.29,1.14
88,63,1,1,3,5,H. M. Bahar,Constant Versus Fluctuating Temperatures In The Interactions Between Plutella Xylostella (Lepidoptera: Plutellidae) And Its Larval Parasitoid Diadegma Insulare (Hymenoptera: Ichneumonidae),2012,Environmental Entomology,2.387,Metazoa,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,Diadegma insulare,Terrestrial,Developmental Plasticity,Embryo,Egg Incubation,NA,NA,7,7,30,30,T2,14,NA,1,Day,NA,NA,NA,Morphology,Mass,mg,No,No,NA,No,Yes,68,36,0.43,0.12,36,0.4,0.12,36,0.36,0.06,36,0.36,0.06
89,65,1,1,2,1,N. K. Dhaliwal,Development And Survival Of Brinjal Shoot And Fruit Borer Leucinodes Orbonalis Guenee (Crambidae: Lepidoptera) At Constant And Alternating Temperatures,2021,International Journal Of Tropical Insect Science,1.02,Metazoa,Arthropoda,Insecta,Lepidoptera,Crambidae,Leucinodes orbonalis,Terrestrial,Developmental Plasticity,Embryo,Egg Incubation,NA,NA,20,20,25,25,T2,10,Alternating,1,Day,NA,NA,NA,Life-History Traits,Development Time,Days,No,No,Both,No,Yes,69,4,60.55,0.46,4,33.43,0.66,4,42.65,0.88,4,23.41,0.56
90,66,1,1,2,1,J. D. Orcutt Jr,Diel Vertical Migration By Zooplankton: Constant And Fluctuating Temperature Effects On Life History Parameters Of Daphnia,1983,Limnology And Oceanography,5.019,Metazoa,Arthropoda,Branchiopoda,Diplostraca,Daphniidae,Daphnia parvula,Aquatic,Developmental Plasticity,Juvenile,Juvenile Period,NA,NA,15,15,20,20,T2,10,Alternating,1,Day,NA,NA,NA,Life-History Traits,Longevity,Days,No,No,NA,No,Yes,70,13,47.42,21.05641945,13,37.02,14.27798305,13,43.93,81.62968088,13,15.21,5.155938324
91,66,1,1,2,2,J. D. Orcutt Jr,Diel Vertical Migration By Zooplankton: Constant And Fluctuating Temperature Effects On Life History Parameters Of Daphnia,1983,Limnology And Oceanography,5.019,Metazoa,Arthropoda,Branchiopoda,Diplostraca,Daphniidae,Daphnia parvula,Aquatic,Developmental Plasticity,Juvenile,Juvenile Period,NA,NA,15,15,20,20,T2,10,Alternating,1,Day,NA,NA,NA,Morphology,Length,mm,No,No,NA,No,Yes,71,13,1.27,0.324499615,13,1.33,0.252388589,13,1.06,0.324499615,13,1.21,0.180277564
92,66,1,1,2,3,J. D. Orcutt Jr,Diel Vertical Migration By Zooplankton: Constant And Fluctuating Temperature Effects On Life History Parameters Of Daphnia,1983,Limnology And Oceanography,5.019,Metazoa,Arthropoda,Branchiopoda,Diplostraca,Daphniidae,Daphnia parvula,Aquatic,Developmental Plasticity,Juvenile,Juvenile Period,NA,NA,15,15,20,20,T2,10,Alternating,1,Day,NA,NA,NA,Life-History Traits,Brood Size,No.,No,No,Female,No,Yes,72,13,11.33,4.795383196,13,10.5,3.353162686,13,8.64,5.552548964,13,5.14,1.478276023
